source_idx,question,old_answer,new_answer,old_time,new_time,old_evidence,new_evidence,flag,verdict,note
1208,who did Choi replace in the California State Assembly?,Harry Sidhu,Donald P. Wagner,2024-11-01,2024-12-01 00:00:00,"…fornia State Assembly, narrowly defeating Anaheim City Councilman Harry Sidhu in the primary and winning the general election with 60% of the vote. Personal life With his wife, Janie, and their two ch…","…ornia State Assembly, but narrowly lost the Republican primary to Donald P. Wagner, who went on to win the general election.http://elections.cdn.sos.ca.gov/sov/2010-primary/pdf/2010-complete-sov.pdf I…",,c,
1213,what was the name of the Universal theme park in which the Rank Group had an interest that it sold?,Universal Studios Florida,Universal Orlando Resort,2024-08-01,2024-09-01 00:00:00,"…ightclub division, Rank Entertainment, as well as its interest in Universal Studios Florida, and disposed of the Rank film library to Carlton Communications, to which it had recently also sold the Ran…","…ightclub division, Rank Entertainment, as well as its interest in Universal Orlando Resort, and disposed of the Rank film library to Carlton Communications, to which it had recently also sold the Rank…",,c,
1241,"who is initially angered by Cheech's notes on the script, but quickly realizes the ideas are excellent?",Shayne,David,2024-10-01,2024-11-01 00:00:00,"Plot In 1928, David Shayne is an idealistic young playwright newly arrived on Broadway from Pittsburgh. Desperate to gain financing for his play, God of Our Fathers, he is convinced by producer Julian…","…ting for his frustration with the demanding and talentless Olive, David is thrilled to cast alcoholic faded star Helen Sinclair in the lead role, along with the dieting British thespian Warner Purcell…",,c,
1243,what club is Liam James Rosenior the head coach of?,Hull City,Strasbourg,2024-07-01,2024-08-01 00:00:00,"…yer who was most recently the head coach of EFL Championship club Hull City. As a player, he played either as a full-back or winger. He played for Bristol City, Fulham, Torquay United, Reading, Ipswic…","…r and former player who is the current head coach of Ligue 1 club Strasbourg. As a player, he played either as a full-back or winger. He played for Bristol City, Fulham, Torquay United, Reading, Ipswi…",,g,
1245,who currently holds the post of EU Commissioner for Agriculture?,Commissioner Janusz Wojciechowski,Commissioner Christophe Hansen,2024-11-01,2024-12-01 00:00:00,… member of the European Commission. The post is currently held by Commissioner Janusz Wojciechowski. The post is in charge of rural issues including most notably the controversial Common Agricultural …,… member of the European Commission. The post is currently held by Commissioner Christophe Hansen. The post is in charge of rural issues including most notably the controversial Common Agricultural Pol…,,g,
1246,who played bass in the line-up supporting both Ron Asheton and James Williamson on twin lead guitars?,Jimmy,Recca,2024-08-01,2024-09-01 00:00:00,"Jimmy Recca (born 1953) is an American musician known as a former bass player in The Stooges via an incarnation that existed from early 1971 until their first break-up on July 9, 1971. After a brief p…","Jimmy Recca (born 1953) is an American musician known as a former bass player in The Stooges via an incarnation that existed from early 1971 until their first break-up on July 9, 1971. After a brief p…",,c,
1249,who holds the current men's course record at the Zevenheuvelenloop?,Joshua Cheptegei,Jacob Kiplimo,2024-11-01,2024-12-01 00:00:00,"…n 2009-11-15. The current men's course record is 41:05 (min:s) by Joshua Cheptegei from 2018 and the current women's course record is 44:20 by Letesenbet Gidey from 2019, both of which are also world …","…n 2009-11-15. The current men's course record is 40:42 (min:s) by Jacob Kiplimo from 2024 and the current women's course record is 44:20 by Letesenbet Gidey from 2019, both of which are also world bes…",,g,
1251,"what organisation did ""Hapoel Hatzair"" consolidate to form?",Workers' Party,Mapai,2024-08-01,2024-09-01 00:00:00,"…ed in 1905 and one of the organisations that consolidated to form Workers' Party in 1930. Its members were pro-British and supported Chaim Weizmann.Sofer, 2003, pp.","…ed in 1905 and one of the organisations that consolidated to form Mapai in 1930. Its members were pro-British and supported Chaim Weizmann.Sofer, 2003, pp.",,c,
1253,who is the current principal of Greenhead College?,Simon Lett,Mo Bunter,2024-09-01,2024-10-01 00:00:00,"…n the county of West Yorkshire, England. The current principal is Simon Lett. With over 2,700 students, it is a large sixth form college, attracting students from as far afield as Wakefield, Mancheste…","…n the county of West Yorkshire, England. The current principal is Mo Bunter. With over 2,700 students, it is a large sixth form college, attracting students from as far afield as Wakefield, Manchester…",,g,
1256,how many inches of precipitation does Kaktovik typically receive in a year?,5 inches,4 inches,2024-08-01,2024-09-01 00:00:00,… Precipitation totals are similar to desert regions as only about 5 inches with most of it falling from July to September.,… Precipitation totals are similar to desert regions as only about 4 inches with most of it falling from July to September.,수치?,c,
1259,what is the name of the unincorporated community formerly known as West Palm Beach Farms?,Palm Beach Farms,Royal Palm Estates,2024-07-01,2024-08-01 00:00:00,"Palm Beach Farms (formerly West Palm Beach Farms) is an unincorporated community in Palm Beach County, Florida, United States. The population is unknown, however. This town is similar to Southwest Ran…","Royal Palm Estates (formerly West Palm Beach Farms) is an unincorporated community in Palm Beach County, Florida, United States. The population is unknown, however. This town is similar to Southwest R…",,c,
1269,who is the current title holder of the UWA World Light Heavyweight Championship?,Sumika Yanagawa,Misa Kagura,2024-08-01,2024-09-01 00:00:00,"…hared between 28 different champions. The current title holder is Sumika Yanagawa, who is in her first reign.","…hared between 29 different champions. The current title holder is Misa Kagura, who is in her first reign.",,g,
1271,in which city is Saint Mary's College High School located?,Berkeley,Albany,2024-09-01,2024-10-01 00:00:00,"…College High School is a coeducational Catholic school located in Berkeley, California, United States. It came into being as part of Saint Mary's College of California, founded in 1863 by the Catholic…","…College High School is a coeducational Catholic school located in Albany, California, United States. It came into being as part of Saint Mary's College of California, founded in 1863 by the Catholic C…",,c,
1275,what French company partnered with AJ Lucas Group for the construction of the SEAGas pipeline?,Spie Capag,Spie Batignolles,2024-09-01,2024-10-01 00:00:00,…een Australian pipeline company AJ Lucas Group and French company Spie Capag. See also List of natural gas pipelines References External links Category:Natural gas pipelines in Australia Category:Ener…,…een Australian pipeline company AJ Lucas Group and French company Spie Batignolles. See also List of natural gas pipelines References External links Category:Natural gas pipelines in Australia Categor…,,c,
1286,which city is considered a satellite of Odesa?,Yuzhne,Pivdenne,2024-10-01,2024-11-01 00:00:00,"…es its beginning towards the Western Ukraine. Until 18 July 2020, Yuzhne was incorporated as a city of oblast significance. In July 2020, as part of the administrative reform of Ukraine, which reduced…","…hree nearby port cities have grown into a single conurbation, and Pivdenne is considered a satellite of Odesa. Name 11 May 1978 by the order of the Presidium of the Verkhovna Rada (parliament) of the …",,g,
1289,"who released a fifth album with MAM titled ""Southpaw""?",Gilbert,O'Sullivan,2024-11-01,2024-12-01 00:00:00,"…d his last top 20 hit, ""I Don't Love You But I Think I Like You"". Gilbert released a fifth album with MAM in 1977, Southpaw, but it failed to chart. O'Sullivan discovered his recording contract with M…","5 in Ireland. In June 1975, O'Sullivan had his last top 20 hit, ""I Don't Love You But I Think I Like You"". O'Sullivan released a fifth album with MAM in 1977, Southpaw, but it failed to chart. O'Sulli…",,c,
1291,where do the Indiana Mad Ants play their home games?,Noblesville Event Center,Gainbridge Fieldhouse,2024-09-01,2024-10-01 00:00:00,"…iated with the Indiana Pacers. The team plays their home games at Noblesville Event Center. From 2007 to 2023, the team played in Fort Wayne's Allen County War Memorial Coliseum and was known as the F…","…iated with the Indiana Pacers. The team plays their home games at Gainbridge Fieldhouse. From 2007 to 2023, the team played in Fort Wayne's Allen County War Memorial Coliseum and was known as the Fort…",,g,
1292,what language was spoken in Ben Gazzara's household when he was raised?,Italian,Sicilian,2024-11-01,2024-12-01 00:00:00,"…po and his father from Canicattì. He was raised in a monolingual, Italian-speaking household, and did not learn English until he went to school. Gazzara grew up in New York's Kips Bay neighborhood; he…","… life and education Gazzara was born in New York City, the son of Sicilian immigrants Angelina () and Antonio Gazzara, a laborer and carpenter; both parents were from the province of Agrigento—his mot…",,c,
1299,how many years did Sabatino Piscitelli play in the National Football League (NFL) prior to joining WWE?,Six years,Five seasons,2024-11-01,2024-12-01 00:00:00,"…nder the ring name Sabby. Prior to joining WWE, Piscitelli played six years in the National Football League (NFL). He was selected by the Tampa Bay Buccaneers in the second round (64th overall) of the…","…nder the ring name Sabby. Prior to joining WWE, Piscitelli played five seasons in the National Football League (NFL). He was selected by the Tampa Bay Buccaneers in the second round (64th overall) of …",수치?,c,
1304,how many times the original amount adjusted for inflation is the current fee for the Hollywood Walk of Fame?,Nine times,Eight times,2024-08-01,2024-09-01 00:00:00,"…(), and stood at $30,000 in 2012 (). , the fee was $75,000, about nine times the original amount adjusted for inflation. Grant was himself awarded a star in 1980 for his television work.","…(), and stood at $30,000 in 2012 (). , the fee was $75,000, about eight times the original amount adjusted for inflation. Grant was himself awarded a star in 1980 for his television work.",수치?,c,
