source_idx,question,old_answer,new_answer,old_time,new_time,old_evidence,new_evidence,flag,verdict,note
601,which team does Constantine Mika play for?,Nyngan Tigers,XIII Limouxin,2024-10-01,2024-11-01 00:00:00,"…a international rugby league footballer who plays as a or for the Nyngan Tigers. He previously played for the Newcastle Knights in the NRL, Hull Kingston Rovers in the Super League, Toulouse Olympique…","…a international rugby league footballer who plays as a or for the XIII Limouxin. He previously played for the Newcastle Knights in the NRL, Hull Kingston Rovers in the Super League, Toulouse Olympique…",,g,
602,what position was Ronald Harvey among Australians to be awarded the International Olympic Committee's Pierre de Coubertin medal?,Second,First,2024-08-01,2024-09-01 00:00:00,"…g Olympic Games torch relay leg in Australia. In 2009, he was the second Australian to be awarded the International Olympic Committee's Pierre de Coubertin medal in recognition to his contribution to …","…g Olympic Games torch relay leg in Australia. In 2009, he was the first Australian to be awarded the International Olympic Committee's Pierre de Coubertin medal in recognition to his contribution to t…",수치?,c,
604,how many campus locations does the University of Tromsø have in northern Norway?,six,eleven,2024-09-01,2024-10-01 00:00:00,"…c University of Norway. As of January 2016 the university now has six campus locations in northern Norway, the main campus being Tromsø. Spy case in 2022 In October 2022 a guest researcher at UiT was …","…tic University of Norway. As of September 2024 the university has eleven campus locations in northern Norway, the main campus being Tromsø. Spy case in 2022 In October 2022 a guest researcher at UiT w…",수치?,c,
609,how many residence halls are in the school's residential village?,Five,Six,2024-09-01,2024-10-01 00:00:00,…07. Harcourt. 13. The school's residential village is composed of five residence halls located along the edges of the lake. There are two men's and three women's dormitories.,…07. Harcourt. 13. The school's residential village is composed of six residence halls located along the edges of the lake. There are three men's and three women's dormitories.,수치?,c,
611,in which country is the Epipalaeolithic open-air site Ein Qashish South located?,Israel,Palestine,2024-08-01,2024-09-01 00:00:00,"…plaquette with bird image from Ein Qashish South, Jezreel Valley, Israel, Kebaran and Geometric Kebaran ca. 23,000-16,500 BP. Evidence for symbolic behavior of Late Pleistocene foragers in the Levant …","…plaquette with bird image from Ein Qashish South, Jezreel Valley, Palestine, Kebaran and Geometric Kebaran ca. 23,000-16,500 BP. Evidence for symbolic behavior of Late Pleistocene foragers in the Leva…",,c,
612,"where is the 23,000-year-old fisher-hunter-gatherers’ camp of Ohalo II located?",Northern Israel,Northern Palestine,2024-08-01,2024-09-01 00:00:00,"…fisher-hunter-gatherers’ camp on the shore of the Sea of Galilee, Northern Israel.","…fisher-hunter-gatherers’ camp on the shore of the Sea of Galilee, Northern Palestine.",,c,
617,"which composer's piano solo music is typically full of alternative passages, often no easier or more difficult than the rest of the piece?",Franz Liszt,Ralph Keuchkerian,2024-09-01,2024-10-01 00:00:00,"…t always indicate a change in difficulty; the piano solo music of Franz Liszt is typically full of alternative passages, often no easier or more difficult than the rest of the piece. This reflects Lis…","…t always indicate a change in difficulty; the piano solo music of Ralph Keuchkerian is typically full of alternative passages, often no easier or more difficult than the rest of the piece. This reflec…",,c,
629,how many coin certification services does eBay deem acceptable to include in its listings for Canada?,Five,Six,2024-09-01,2024-10-01 00:00:00,"… on the high end of their grade. Leading services There are four (five for Canada) coin certification services which eBay, the largest coin marketplace, deems acceptable to include in its listings: AN…","… on the high end of their grade. Leading services There are four (six for Canada) coin certification services which eBay, the largest coin marketplace, deems acceptable to include in its listings: ANA…",수치?,c,
633,"what is the origin that requires CITES permits or certificates for international trade in the product, even if artificially propagated?",Saussurea costus,Dolomiaea costus,2024-06-01,2024-07-01 00:00:00,"…tata Neaven leaves Endangered species Some Po Chai pills contains Saussurea costus (Aucklandia, 木香), listed on the label as Radix Aucklandiae (Latin for ""aucklandia root""), which is endangered in the …","…ngered species Some Po Chai pills contains Saussurea costus (syn. Dolomiaea costus, Aucklandia costus, 木香), listed on the label as Radix Aucklandiae (Latin for ""aucklandia root""), which is endangered …",,c,
634,who is the license holder of the station in Fruit Cove?,Chesapeake-Portsmouth Broadcasting Corporation,Norsan Media,2024-11-01,2024-12-01 00:00:00,"…ksonville, Florida area. The station is licensed in Fruit Cove to Chesapeake-Portsmouth Broadcasting Corporation.Renda sells two of its four Jacksonville Stations. Radio Insight. It is branded as Jax …","…ksonville, Florida area. The station is licensed in Fruit Cove to Norsan Media. It airs a classic country format exclusive on WSOS-FM. The signal covers the southern parts of the Jacksonville metropol…",,g,
635,"what is the full name of the former American football offensive and defensive lineman born on February 16, 1984?",Alex Guerrero,Juan Alejandro Guerrero Lockward,2024-07-01,2024-08-01 00:00:00,"Alex Guerrero (born February 16, 1984) is a former American football offensive and defensive lineman. He was signed by the Kansas City Chiefs as an undrafted free agent in 2006. He played college foot…","Juan Alejandro Guerrero Lockward (born February 16, 1984) is a former American football offensive and defensive lineman. He was signed by the Kansas City Chiefs as an undrafted free agent in 2006 afte…",,c,
663,how many stories tall was the Ward Building?,six stories,five stories,2024-07-01,2024-08-01 00:00:00,"…ilt Avenues, in Prospect Heights, Brooklyn. The Ward Building was six stories tall, with a facade of glazed white terra cotta tiles.","…ilt Avenues, in Prospect Heights, Brooklyn. The Ward Building was five stories tall, with a facade of glazed white terra cotta tiles. Grecian-inspired arches ran the length of the building, front and …",수치?,c,
664,"who grew up in a large one-story house, unlike the ""later plantation palaces, but a mansion of aristocracy by the standards of its time""?",Pierre,Beauregard,2024-06-01,2024-07-01 00:00:00,"…3 Similien was held in the Beauregards' highest esteem, and after Pierre's grandfather died, the Beauregard family gifted Similien a Creole Cottage in the Faubourg Treme of New Orleans. Pierre grew up…","Similien was held in the Beauregards' highest esteem, and after Pierre's grandfather died, the Beauregard family gave Similien a Creole Cottage in the Faubourg Treme of New Orleans. Pierre often visit…",,c,
